"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Australia","2024","Coffee; not roasted or decaffeinated","Export","5201002.53","","No Quantity",""
"Australia","2024","Coffee; not roasted or decaffeinated","Import","470600177.334","96981116.44","Weight in kilograms","96981116.44"
"Australia","2023","Coffee; not roasted or decaffeinated","Export","5156273.629","770195.427","Weight in kilograms","770195.427"
"Australia","2023","Coffee; not roasted or decaffeinated","Import","439205400.096","94667494.16","Weight in kilograms","94667494.16"
"Australia","2022","Coffee; not roasted or decaffeinated","Export","4260569.063","525115.67","Weight in kilograms","525115.67"
"Australia","2022","Coffee; not roasted or decaffeinated","Import","497457903.54","103670250.31","Weight in kilograms","103670250.31"
"Australia","2021","Coffee; not roasted or decaffeinated","Export","5132142.025","842446.862","Weight in kilograms","842446.862"
"Australia","2021","Coffee; not roasted or decaffeinated","Import","347427167.067","96823831.08","Weight in kilograms","96823831.08"
"Australia","2020","Coffee; not roasted or decaffeinated","Export","5647868.477","","No Quantity",""
"Australia","2020","Coffee; not roasted or decaffeinated","Import","272968333.856","89217863.72","Weight in kilograms","89217863.72"
"Australia","2019","Coffee; not roasted or decaffeinated","Export","4165784.916","","No Quantity",""
"Australia","2019","Coffee; not roasted or decaffeinated","Import","284139826.002","94759554.92","Weight in kilograms","94759554.92"
"Australia","2018","Coffee; not roasted or decaffeinated","Export","5554048.457","778695.524","Weight in kilograms","778695.524"
"Australia","2018","Coffee; not roasted or decaffeinated","Import","294425129.168","91076616.34","Weight in kilograms","91076616.34"
"Australia","2017","Coffee; not roasted or decaffeinated","Export","5090315.134","613201.21","Weight in kilograms","613201.21"
"Australia","2017","Coffee; not roasted or decaffeinated","Import","321121852.308","90416019.76","Weight in kilograms","90416019.76"
"Australia","2016","Coffee; not roasted or decaffeinated","Import","269578228","81583654","Weight in kilograms","81583654"
"Australia","2016","Coffee; not roasted or decaffeinated","Export","4767773","785987","Weight in kilograms","785987"
"Australia","2015","Coffee; not roasted or decaffeinated","Import","283200851","80809526","Weight in kilograms","80809526"
"Australia","2015","Coffee; not roasted or decaffeinated","Export","4957548","1030384","Weight in kilograms","1030384"

